username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,87800,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,79900,https://github.com/angular/angular
storybookjs,storybook,69100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,47300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,46400,https://github.com/ionic-team/ionic-framework
prettier,prettier,42000,https://github.com/prettier/prettier
SheetJS,sheetjs,29200,https://github.com/SheetJS/sheetjs
angular,angular-cli,25200,https://github.com/angular/angular-cli
angular,components,22500,https://github.com/angular/components
NativeScript,NativeScript,21000,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19300,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,17100,https://github.com/pubkey/rxdb
handsontable,handsontable,16300,https://github.com/handsontable/handsontable
teambit,bit,14800,https://github.com/teambit/bit
goldbergyoni,javascript-testing-best-practices,14600,https://github.com/goldbergyoni/javascript-testing-best-practices
sweetalert2,sweetalert2,14200,https://github.com/sweetalert2/sweetalert2
linnovate,mean,12100,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11300,https://github.com/codesandbox/codesandbox-client
nrwl,nx,11100,https://github.com/nrwl/nx
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,10400,https://github.com/Chocobozzz/PeerTube
angular,protractor,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8500,https://github.com/OnsenUI/OnsenUI
sudheerj,javascript-interview-questions,8400,https://github.com/sudheerj/javascript-interview-questions
dotansimha,graphql-code-generator,8400,https://github.com/dotansimha/graphql-code-generator
PatrickJS,awesome-angular,8200,https://github.com/PatrickJS/awesome-angular
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
ag-grid,ag-grid,8100,https://github.com/ag-grid/ag-grid
NG-ZORRO,ng-zorro-antd,8000,https://github.com/NG-ZORRO/ng-zorro-antd
ng-bootstrap,ng-bootstrap,7900,https://github.com/ng-bootstrap/ng-bootstrap
