username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,141000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,42400,https://github.com/junegunn/fzf
sharkdp,bat,32800,https://github.com/sharkdp/bat
wagoodman,dive,30200,https://github.com/wagoodman/dive
sherlock-project,sherlock,29700,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,29600,https://github.com/BurntSushi/ripgrep
google,zx,29100,https://github.com/google/zx
chubin,cheat.sh,28300,https://github.com/chubin/cheat.sh
cli,cli,27400,https://github.com/cli/cli
jesseduffield,lazygit,26100,https://github.com/jesseduffield/lazygit
spf13,cobra,25400,https://github.com/spf13/cobra
angular,angular-cli,25200,https://github.com/angular/angular-cli
alebcay,awesome-shell,23000,https://github.com/alebcay/awesome-shell
google,python-fire,22000,https://github.com/google/python-fire
tqdm,tqdm,21300,https://github.com/tqdm/tqdm
n8n-io,n8n,21200,https://github.com/n8n-io/n8n
sharkdp,fd,20800,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,20700,https://github.com/ibraheemdev/modern-unix
vercel,pkg,19800,https://github.com/vercel/pkg
avajs,ava,19600,https://github.com/avajs/ava
chalk,chalk,18100,https://github.com/chalk/chalk
vadimdemedes,ink,17800,https://github.com/vadimdemedes/ink
urfave,cli,17400,https://github.com/urfave/cli
svg,svgo,17400,https://github.com/svg/svgo
gpakosz,.tmux,16100,https://github.com/gpakosz/.tmux
allinurl,goaccess,14400,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
jarun,nnn,13600,https://github.com/jarun/nnn
infinitered,ignite,13600,https://github.com/infinitered/ignite
asdf-vm,asdf,13300,https://github.com/asdf-vm/asdf
